date,nav,n_pos,ret
2024-04-03,1000000.0,0,0.0
2024-04-05,1000000.0,0,0.0
2024-04-08,1000000.0,0,0.0
2024-04-09,1000000.0,0,0.0
2024-04-10,1000000.0,0,0.0
2024-04-11,1000000.0,0,0.0
2024-04-12,1000000.0,0,0.0
2024-04-15,1000000.0,0,0.0
2024-04-16,1000000.0,0,0.0
2024-04-17,1000000.0,0,0.0
2024-04-18,1000000.0,0,0.0
2024-04-19,1000000.0,0,0.0
2024-04-22,1000000.0,0,0.0
2024-04-23,1000000.0,0,0.0
2024-04-24,1000000.0,0,0.0
2024-04-25,1000000.0,0,0.0
2024-04-26,1000000.0,0,0.0
2024-04-29,1000000.0,0,0.0
2024-04-30,1000000.0,0,0.0
2024-05-02,1000000.0,0,0.0
2024-05-03,1000000.0,0,0.0
2024-05-06,1000000.0,0,0.0
2024-05-07,1000000.0,0,0.0
2024-05-08,1000000.0,0,0.0
2024-05-09,1000000.0,0,0.0
2024-05-10,1000000.0,0,0.0
2024-05-13,1000000.0,0,0.0
2024-05-14,1000000.0,0,0.0
2024-05-16,1000000.0,0,0.0
2024-05-17,1000000.0,0,0.0
2024-05-20,1000000.0,0,0.0
2024-05-21,1000000.0,0,0.0
2024-05-22,1000000.0,0,0.0
2024-05-23,1000000.0,0,0.0
2024-05-24,1000000.0,0,0.0
2024-05-27,1000000.0,0,0.0
2024-05-28,1000000.0,0,0.0
2024-05-29,1000000.0,0,0.0
2024-05-30,1000000.0,0,0.0
2024-05-31,1000000.0,0,0.0
2024-06-03,1000000.0,0,0.0
2024-06-04,1000000.0,0,0.0
2024-06-05,1000000.0,0,0.0
2024-06-06,1000000.0,0,0.0
2024-06-07,1000000.0,0,0.0
2024-06-11,1000000.0,0,0.0
2024-06-12,1000000.0,0,0.0
2024-06-13,1000000.0,0,0.0
2024-06-14,1000000.0,0,0.0
2024-06-17,1000000.0,0,0.0
2024-06-18,1000000.0,0,0.0
2024-06-19,1000000.0,0,0.0
2024-06-20,1000000.0,0,0.0
2024-06-21,1000000.0,0,0.0
2024-06-24,1000000.0,0,0.0
2024-06-25,1000000.0,0,0.0
2024-06-26,1000000.0,0,0.0
2024-06-27,1000000.0,0,0.0
2024-06-28,1000000.0,0,0.0
2024-07-02,1000000.0,0,0.0
2024-07-03,1000000.0,0,0.0
2024-07-04,1000000.0,0,0.0
2024-07-05,1000000.0,0,0.0
2024-07-08,994750.1542700734,3,-0.005249845729926594
2024-07-09,1003469.4626938466,3,0.008765325027942472
2024-07-10,1001911.7244886188,3,-0.001552352376569588
2024-07-11,1008952.5693694027,3,0.0070274104082148625
2024-07-12,1014978.3482960879,3,0.00597231139462906
2024-07-15,1011307.1263036355,3,-0.0036170446380610066
2024-07-16,993082.0964710596,3,-0.018021261156528245
2024-07-17,984630.8648171609,3,-0.00851010373052774
2024-07-18,986218.6517606624,3,0.001612570761527321
2024-07-19,973819.0728583711,3,-0.012572849722680468
2024-07-22,986105.4758157262,3,0.012616720394777126
2024-07-23,982788.3141509604,3,-0.0033639014751659646
2024-07-24,990150.3142700067,3,0.007490931681871205
2024-07-25,980584.2047162985,3,-0.009661270027229052
2024-07-26,983703.0528186264,3,0.0031806020200277896
2024-07-29,983908.2758293072,0,0.00020862292751133715
2024-07-30,983908.2758293072,0,0.0
2024-07-31,983908.2758293072,0,0.0
2024-08-01,983908.2758293072,0,0.0
2024-08-02,983908.2758293072,0,0.0
2024-08-05,983908.2758293072,0,0.0
2024-08-06,980464.6104721732,1,-0.0034999861691694667
2024-08-07,993331.052465861,1,0.013122801023375485
2024-08-08,989546.8048206586,1,-0.003809654028038567
2024-08-09,988033.1057625776,1,-0.0015296891978296978
2024-08-12,999385.8486981844,1,0.011490245488125161
2024-08-13,994087.9019949012,1,-0.005301202443665054
2024-08-14,981978.3095302542,1,-0.012181611344777354
2024-08-15,982735.1590592946,1,0.0007707395588019139
2024-08-16,995601.6010529822,1,0.01309248160613663
2024-08-19,991817.3534077799,1,-0.0038009658092150733
2024-08-20,979707.7609431329,1,-0.012209498475742264
2024-08-21,969868.717065607,1,-0.01004283549622409
2024-08-22,959272.8236590407,1,-0.010925080085709693
2024-08-23,952461.1778976768,1,-0.007100843048364114
2024-08-26,955488.5760138385,1,0.0031785002753015323
2024-08-27,955225.9492272615,0,-0.0002748612523162386
2024-08-28,955225.9492272615,0,0.0
2024-08-29,955225.9492272615,0,0.0
2024-08-30,955225.9492272615,0,0.0
2024-09-02,955225.9492272615,0,0.0
2024-09-03,955225.9492272615,0,0.0
2024-09-04,949655.271212929,5,-0.0058317909169436355
2024-09-05,968016.7022041372,5,0.019334838175284697
2024-09-09,959772.5080451459,5,-0.00851658255505261
2024-09-10,968111.9919804833,5,0.008689021476894654
2024-09-11,980300.8927235081,5,0.012590382976343184
2024-09-12,970401.7587074055,5,-0.01009805671868802
2024-09-13,979171.8724122333,5,0.009037611098839715
2024-09-16,982086.0928055586,5,0.002976209259510254
2024-09-17,985761.1598608987,5,0.0037421027364734627
2024-09-19,994595.454404384,5,0.008961901628110391
2024-09-20,1009577.5447277724,5,0.015063501705183668
2024-09-23,1011603.9857019699,5,0.0020072167658444773
2024-09-24,1033764.8273246937,5,0.021906637316524646
2024-09-25,1037488.0402417592,5,0.0036016053348428834
2024-09-26,1063942.315303199,5,0.025498390376890834
2024-09-27,1082237.462600666,0,0.017195619569143172
2024-09-30,1082237.462600666,0,0.0
2024-10-02,1082237.462600666,0,0.0
2024-10-03,1082237.462600666,0,0.0
2024-10-04,1082237.462600666,0,0.0
2024-10-07,1082237.462600666,0,0.0
2024-10-08,1075609.8984583905,7,-0.0061239463346143275
2024-10-09,1064310.9809403173,7,-0.01050466115481763
2024-10-10,1101407.8446242085,7,0.03485528604723798
2024-10-14,1118634.2790702037,7,0.015640377476948686
2024-10-15,1097660.2905797267,7,-0.018749638628909437
2024-10-16,1100430.3321262768,7,0.002523587279528172
2024-10-17,1085465.6218783213,7,-0.013598961979755964
2024-10-18,1105949.6759122026,7,0.018871213994262837
2024-10-21,1093472.5888091016,7,-0.011281785577458292
2024-10-22,1088439.1142280665,7,-0.004603201426856995
2024-10-23,1092745.3337485357,7,0.003956325589716814
2024-10-24,1089011.655930519,7,-0.003416786787099446
2024-10-25,1070912.6499985203,7,-0.01661966227214884
2024-10-28,1073550.52093907,7,0.002463198973841063
2024-10-29,1068231.3860272907,7,-0.004954713176541059
2024-10-30,1047747.021393038,0,-0.019175962157817916
2024-10-31,1047747.021393038,0,0.0
2024-11-01,1047747.021393038,0,0.0
2024-11-04,1047747.021393038,0,0.0
2024-11-05,1047747.021393038,0,0.0
2024-11-06,1047747.021393038,0,0.0
2024-11-07,1041228.5547416741,8,-0.006221412724893516
2024-11-08,1071790.7123824188,8,0.029352016424796457
2024-11-11,1106249.77098834,8,0.03215092107798201
2024-11-12,1063205.6720203548,8,-0.038909928026045204
2024-11-13,1071694.1015888234,8,0.00798380764122375
2024-11-14,1045630.2890438018,8,-0.024320197812399136
2024-11-15,1047790.3870222836,8,0.002065833403178452
2024-11-18,1052492.3140986913,8,0.004487469187200777
2024-11-19,1056832.599463238,8,0.004123816683890391
2024-11-20,1055041.249824921,8,-0.0016950173936978175
2024-11-21,1054828.7181261568,8,-0.0002014439708393212
2024-11-22,1032202.5587641429,8,-0.021450079025349233
2024-11-25,1026043.3568350051,8,-0.005967047724152352
2024-11-26,1012830.2611050303,8,-0.012877716757245694
2024-11-27,1034819.4072079943,8,0.02171059351936533
2024-11-28,1016554.6176718997,0,-0.01765021936085842
2024-11-29,1016554.6176718997,0,0.0
2024-12-02,1016554.6176718997,0,0.0
2024-12-03,1016554.6176718997,0,0.0
2024-12-04,1016554.6176718997,0,0.0
2024-12-05,1016554.6176718997,0,0.0
2024-12-06,1009914.6644537752,14,-0.006531821411948635
2024-12-09,1054477.3763265312,14,0.04412522507221772
2024-12-10,1046091.1272167367,14,-0.007952991024814171
2024-12-11,1071595.2072742686,14,0.02438036170461455
2024-12-12,1076155.4223959544,14,0.004255538929933467
2024-12-13,1054840.3126929454,14,-0.019806720534430777
2024-12-16,1045225.3061993873,14,-0.009115129918585985
2024-12-17,1032802.3166216647,14,-0.011885465749862711
2024-12-18,1042438.8878320417,14,0.00933050890309639
2024-12-19,1032618.571594324,14,-0.009420519852382903
2024-12-20,1030013.310978587,14,-0.0025229650980560514
2024-12-23,1043961.8911574747,14,0.013542135844473169
2024-12-24,1051939.585077457,14,0.0076417482166297734
2024-12-27,1050964.347308257,14,-0.0009270853412444158
2024-12-30,1056962.0062168469,14,0.0057068148162697785
2024-12-31,1052152.2601502335,0,-0.00455053827698948
2025-01-02,1052152.2601502335,0,0.0
2025-01-03,1052152.2601502335,0,0.0
2025-01-06,1052152.2601502335,0,0.0
2025-01-07,1052152.2601502335,0,0.0
2025-01-08,1052152.2601502335,0,0.0
2025-01-09,1046628.9988166613,3,-0.005249488636543509
2025-01-10,1040871.9584496988,3,-0.005500554994627094
2025-01-13,1047337.1517609942,3,0.006211324321701239
2025-01-14,1060414.733444824,3,0.012486506051887059
2025-01-15,1056798.1721088302,3,-0.0034105159254486095
2025-01-16,1089901.0974615405,3,0.03132379126532148
2025-01-17,1072937.7787317927,3,-0.015564089961242034
2025-01-20,1100731.7882705848,3,0.025904586537762286
2025-01-21,1101227.1175272826,3,0.00044999995637096113
2025-01-22,1094890.8956271003,3,-0.005753783029253556
