symbol,market,trade_date,close,weekly_rsi,monthly_rsi,resonance,rsi_14,frac_balance_10,frac_balance_20,atr_ratio,fusion_score
00023.HK,HK,2026-04-17,13.77,49.83416664015603,50.29426298152864,0.0,50.464830436198355,-0.5,0.0,1.991907874260816,-0.1460337971855985
00066.HK,HK,2026-04-17,33.62,52.76738094868135,59.72554028999715,0.0,51.98952002064624,0.0,0.5,2.0396022775558764,0.22979330431471362
00101.HK,HK,2026-04-17,9.24,52.913945731409164,51.155511206668294,0.0,51.3736101161366,0.0,0.0,2.566481137909709,0.05222679835760804
00135.HK,HK,2026-04-17,7.42,30.923313894900915,34.67765266481376,0.0,38.96214175893272,-0.5,0.0,2.435502502887946,-0.4213635827676717
00241.HK,HK,2026-04-17,4.68,19.762386324830274,27.935328363254484,0.75,43.13127715231691,-0.5,0.25,3.968253968253968,-0.6534987879185443
00347.HK,HK,2026-04-17,1.51,23.986809046487537,18.864812791379563,0.75,36.213913901400616,-0.25,0.0,3.689687795648062,-0.6546717172961446
00386.HK,HK,2026-04-17,4.54,28.837595428202818,39.38931261971308,0.5,39.39780104959651,-0.5,0.5,2.533039647577093,-0.3973624963847806
00388.HK,HK,2026-04-17,406.4,55.795573211417725,44.67405001592583,0.0,52.135673523542486,-0.5,0.25,2.133717660292461,-0.03149606880996742
00493.HK,HK,2026-04-17,0.013,33.27927610306159,15.917510784823634,0.25,42.10006278928303,-0.5,-0.3636363636363636,10.439560439560442,-0.626280151782686
00525.HK,HK,2026-04-17,2.26,59.985074505638785,64.63430255056382,0.0,54.24529847613465,-0.5,0.0,3.4766118836915285,0.01830944354635846
00688.HK,HK,2026-04-17,12.65,50.703912745403606,31.94365226009532,0.0,53.76895388365056,0.0,0.5,2.704686617730097,0.10867124706366918
00700.HK,HK,2026-04-17,506.0,39.12401180283004,22.140668436813385,0.25,47.785462180555804,0.0,0.5,2.8670242800677577,-0.11782821985714403
00823.HK,HK,2026-04-17,38.42,72.76353278291957,66.86715435807957,-0.5,60.67660387834693,0.0,0.5,1.825686026623036,0.5960645849869283
00857.HK,HK,2026-04-17,10.54,59.32489983054381,89.27074488535331,-0.25,49.62312132440144,0.5,0.0,3.171591217132013,0.4774611896011584
00881.HK,HK,2026-04-17,7.55,15.461749497152354,13.598054109350088,1.75,28.293087183179637,0.0,0.0,4.957426679280983,-0.9364099595062512
00939.HK,HK,2026-04-17,8.61,81.81409618635841,85.66963861502776,-0.75,68.63350284381579,-0.5,-0.4,1.6343122614899632,0.4131850216145912
00941.HK,HK,2026-04-17,81.55,70.41792320071009,52.69420390160501,-0.5,66.22340772934105,0.0,0.5,1.1955855303494796,0.5330613025693718
00995.HK,HK,2026-04-17,15.39,80.9404634930302,88.66684978257105,-0.75,66.15218561099982,0.5,0.25,2.988953866146848,0.9226223750959243
01024.HK,HK,2026-04-17,46.22,16.387378414575807,17.38829142640725,0.75,34.82653177816415,-0.5,0.0,4.622303270074798,-0.8201629570613292
01093.HK,HK,2026-04-17,8.82,40.24294116069208,42.64175748936073,0.0,45.04384787086553,-0.5,0.0,5.596047942986719,-0.2836290170553014
01109.HK,HK,2026-04-17,31.5,69.16242698628986,65.28904030981127,0.0,63.72895358778919,0.0,0.6666666666666666,2.829931972789117,0.4910886529055751
01113.HK,HK,2026-04-17,47.18,57.88505170720278,88.53632229421233,-0.25,53.25210933359283,0.0,0.0,2.286077635802096,0.30728858298343154
01128.HK,HK,2026-04-17,5.68,51.91517144391816,37.109033438190465,0.0,52.182978820160436,-0.5,-0.25,2.263581488933605,-0.2435212620293226
01171.HK,HK,2026-04-17,14.29,46.49386076458882,63.95142559269708,0.0,44.94016126826756,0.5,0.0,4.858542437268821,0.18310337654951214
01177.HK,HK,2026-04-17,5.97,42.88700637739249,25.585594501078305,0.25,47.888891822663105,-0.5,0.0,4.857621440536013,-0.37448208857315507
01211.HK,HK,2026-04-17,110.8,79.65760179912243,77.9787240818596,-0.75,59.090980667414506,0.0,-0.5,4.428829293450233,0.47202443807631733
01398.HK,HK,2026-04-17,7.0,83.32396430209732,90.59158540589587,-0.75,67.07995970934276,0.0,-0.25,1.765306122448981,0.6486034032566371
01513.HK,HK,2026-04-17,28.84,57.079484117693234,33.118034976504134,0.0,53.78683974536289,-0.5,0.0,3.0612244897959173,-0.1308884659493359
01548.HK,HK,2026-04-17,13.66,76.20060480605272,54.151387960236484,-0.5,69.35582772845332,0.0,0.5,4.099560761346996,0.6037356353964332
01579.HK,HK,2026-04-17,15.56,48.48158989308025,70.04133696420499,-0.25,46.37118405260743,0.0,0.25,3.966213734851267,0.19940460861503878
01628.HK,HK,2026-04-17,0.191,62.905584135296,67.64216223025204,0.0,58.33434515979157,-0.5,0.0,15.706806282722512,0.06887056129194602
01638.HK,HK,2026-04-17,0.088,56.22812413300847,25.679822742162614,0.25,53.4103116471557,0.0,0.0,9.821428571428571,-0.06586204146288994
01766.HK,HK,2026-04-17,5.1,25.935039298868347,9.441732021511896,0.75,40.45038755476845,-0.5,-0.25,3.207282913165265,-0.8140401672709492
