symbol,name,trade_date,close,fusion_score,frac_balance_20,top_count_20,fractal_top_5,frac_balance_10,fractal_bottom_5,fractal_top_10,fractal_bottom_10,top_count_10,bottom_count_20,bottom_count_10,bull_divergence,resonance,td9_count,macd_cross_up,td9_extreme,entropy_60,hurst_60,apen_20,apen_60,bb_ratio,atr_ratio,mom_5d,mom_10d,rsi_14,macd,vol_ratio
02768.HK,国恩科技,2026-04-17,47.44,2.28958981323637,0.0333333333333333,14.0,0,0.1,0,0,0,4.0,15.0,5.0,0,0,1,0,0,,,,,1.562132289308705,7.417941459889183,273.21965317919074,273.21965317919074,99.9999999970381,3.770586894586893,20.0
06110.HK,滔搏,2026-04-17,2.92,0.3617797096468421,0.6666666666666666,0.0,0,0.5,0,0,0,0.0,2.0,1.0,0,3,3,0,0,,,,,0.847931939504493,3.546966731898237,0.0318021201413427,0.0656934306569341,55.31914885377999,-0.0209093553031145,0.3223877186235961
01959.HK,中聚投资,2026-04-17,4.37,0.29416302996329324,0.25,1.0,0,0.5,0,0,0,0.0,2.0,1.0,0,0,1,0,0,,,,,0.7074519715468,9.44753187316117,0.0763546798029557,-0.0288888888888888,66.02564099601415,0.1550425484047144,0.016555312481523
02669.HK,中海物业,2026-04-17,4.06,0.28382049979046114,0.75,0.0,0,0.5,0,0,0,0.0,3.0,1.0,0,0,-1,0,0,,,,,0.551566015710471,2.5510204081632644,0.0149999999999999,0.0278481012658227,48.35164827726119,-0.0472986015581886,0.2340451219130714
01972.HK,太古地产,2026-04-17,24.96,0.2766924301452768,0.1666666666666666,2.0,0,0.0,0,0,0,1.0,3.0,1.0,0,3,3,0,0,,,,,0.7474578409522167,2.9761904761904807,0.0008019246190857,0.0976253298153035,56.37860080680452,0.0594063090989216,0.320805341557671
00995.HK,安徽皖通高速公路,2026-04-17,15.39,0.25525311896756697,0.25,1.0,0,0.5,0,0,0,0.0,2.0,1.0,0,3,0,0,0,,,,,0.9683499166712696,2.988953866146848,0.0462270564242011,0.0363636363636363,58.47176077014602,0.3473472631562657,0.5761480746068636
09618.HK,京东-SW,2026-04-17,121.7,0.2394212396892974,0.0,2.0,0,0.5,0,0,0,0.0,2.0,1.0,0,3,-1,0,0,,,,,0.9716158547871284,2.7350628007982145,0.0924596050269299,0.0750883392226149,75.13513512944924,2.9251372151674677,0.2445649651040004
09988.HK,阿里巴巴-W,2026-04-17,135.6,0.23664063837367116,0.25,1.0,0,0.5,0,0,0,0.0,2.0,1.0,0,3,-1,0,0,,,,,0.9349860952311316,3.682048040455119,0.0804780876494024,0.1394957983193276,57.11252653758051,-1.5626407650956224,0.4260873494813117
01109.HK,华润置地,2026-04-17,31.5,0.20405213285517623,0.6666666666666666,0.0,0,0.0,0,0,0,0.0,2.0,0.0,0,3,2,0,0,,,,,0.990910597720634,2.829931972789117,0.0707002039428958,0.0998603351955307,72.13114752442887,0.2063395506768479,1.0059860816008075
06699.HK,时代天使,2026-04-17,90.0,0.19209573006095865,0.6666666666666666,0.0,0,0.0,0,0,0,0.0,2.0,0.0,0,0,-1,0,0,,,,,0.889293725110146,4.035714285714286,0.0876132930513595,0.2137559002022926,92.01451905158552,4.910778332824449,0.1821411706505363
06690.HK,海尔智家,2026-04-17,21.04,0.15665012453203217,0.5,0.0,0,0.5,0,0,0,0.0,1.0,1.0,0,3,-1,0,0,,,,,0.3508103302631898,3.3134166214014105,0.0086289549376796,0.0154440154440154,26.007326000657443,-1.0973793269190502,0.3113342298697449
00493.HK,国美零售,2026-04-17,0.013,0.1492812916000063,-0.3636363636363636,7.0,0,-0.5,0,0,0,1.0,3.0,0.0,0,0,0,0,0,,,,,0.1539579279726063,10.439560439560442,-0.0714285714285715,-0.1333333333333333,42.857134285716,-0.00030692249466,0.2831188767286972
02197.HK,三叶草生物-B,2026-04-17,2.9,0.13995268790347928,0.6666666666666666,0.0,0,0.0,0,0,0,0.0,2.0,0.0,0,0,-2,0,0,,,,,0.6381188332690699,6.921182266009854,-0.0584415584415585,0.0820895522388058,61.15702472262824,0.2047485136375808,0.3543412944869388
00688.HK,中国海外发展,2026-04-17,12.65,0.12996834914293717,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,6,0,0,,,,,0.8587300929851099,2.704686617730097,0.06035205364627,0.0952380952380951,62.94820713620421,-0.2055542878531167,0.5175014908175551
03690.HK,美团-W,2026-04-17,85.25,0.12839253855050156,0.0,2.0,0,0.0,0,0,0,1.0,2.0,1.0,0,0,-1,0,0,,,,,0.5696694660196806,4.893171344784248,-0.0268264840182648,0.0277275467148885,41.68126094366537,1.1199616904750511,0.4465525314414229
01579.HK,颐海国际,2026-04-17,15.56,0.12329153259416571,0.25,1.0,0,0.0,0,0,0,1.0,2.0,1.0,0,0,-1,0,0,,,,,0.3939899103506705,3.966213734851267,-0.0176767676767676,-0.0465686274509803,46.019417463218026,0.0924643306433168,0.2990130622706203
01775.HK,精英汇集团,2026-04-17,0.45,0.10743309950875611,0.4,1.0,0,0.0,0,0,0,0.0,3.0,0.0,0,1,0,0,0,,,,,0.4256606405850572,6.349206349206352,-0.0109890109890109,-0.0999999999999999,46.66666623111112,0.0014187533564591,0.0508259212198221
00347.HK,鞍钢股份,2026-04-17,1.51,0.09358254947641234,0.0,2.0,0,-0.25,0,0,0,2.0,2.0,1.0,0,0,-3,0,0,,,,,0.3115006752638065,3.689687795648062,-0.0443037974683544,0.0066666666666665,44.9999998425,-0.0695523032204039,0.3622977421605925
02171.HK,科济药业-B,2026-04-17,24.06,0.09139689591612041,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,3,6,0,0,,,,,1.048633790662144,5.63472271701698,0.319078947368421,0.394782608695652,89.52007834227929,1.9456242568992896,0.4315509869596297
02382.HK,舜宇光学科技,2026-04-17,63.5,0.08775098230885445,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,2,0,0,,,,,0.8246863449111931,3.661417322834646,0.0111464968152865,0.1880261927034612,73.65591397295063,1.751871085802101,0.3336444072129492
09888.HK,百度-SW,2026-04-17,121.7,0.08309549027927729,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,0,0,,,,,0.9473422792293826,3.6976170912078894,0.1206261510128914,0.151371807000946,63.58543417117593,-1.45652636867338,0.2813285939080717
02357.HK,中航科工,2026-04-17,3.59,0.08068010882429952,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,4,0,0,,,,,0.6946604766013188,2.4870672502984483,0.0227920227920228,0.0813253012048191,49.29577455068437,-0.0933840269354302,0.3714125915344772
01548.HK,金斯瑞生物科技,2026-04-17,13.66,0.07288057893021922,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.9104213654433608,4.099560761346996,0.0663544106167057,0.2474885844748859,80.60046186770421,0.4789087558601004,0.3343095780453411
02020.HK,安踏体育,2026-04-17,84.3,0.07194591458108048,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,2,0,0,,,,,0.8331658070133524,2.5843077444500944,0.0047675804529201,0.1136063408190224,77.66990290558329,1.2983178807250368,0.3901839581428223
01800.HK,中国交通建设,2026-04-17,4.57,0.06944343632240872,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,1,0,,,,,0.3229339030203376,2.453891841200375,0.0,0.0155555555555555,27.39726022142992,-0.1162038728607095,0.1950622011197144
01171.HK,兖矿能源,2026-04-17,14.29,0.06467301759478289,0.0,1.0,0,0.5,0,0,0,0.0,1.0,1.0,0,3,-1,0,0,,,,,0.2725019260871331,4.858542437268821,0.0028070175438594,-0.0192175703500343,33.95833332342882,-0.071066604525507,0.260172751105067
03993.HK,洛阳钼业,2026-04-17,19.22,0.05632866464429131,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.8241930765540006,4.846142411178831,0.0417344173441733,0.1937888198757762,63.380281677643325,-0.2333314268482098,0.3482378841417896
02359.HK,药明康德,2026-04-17,121.8,0.05319271890355244,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.5677538326345313,4.116819141449681,-0.0609097918272937,0.0365957446808511,64.37125748233174,4.197104222852104,0.7065513911581289
00386.HK,中国石油化工股份,2026-04-17,4.54,0.05097597000134981,0.5,1.0,0,-0.5,0,0,0,1.0,4.0,0.0,0,0,-1,0,0,,,,,0.3058367882801225,2.533039647577093,-0.019438444924406,0.0111358574610245,47.25274718005072,-0.1054785265414333,0.2364586567316859
02186.HK,绿叶制药,2026-04-17,2.87,0.05075310974510904,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-2,0,0,,,,,0.7302018796638864,5.176704828272775,0.0250000000000001,0.1434262948207172,71.07438008305445,0.1086629616564445,0.4671040178959724
