date,market,symbol,level,score,old_conf,conf_v2,delta,gate_old,gate_v2,gate_change,xmm_active,vp_active,llm_active,dir_note,v2_reasons
2026-05-27,US,AAPL.US,BUY,32.0,0.53,0.55,0.02,N/A,False,False,False,False,True,中性,置信度 0.55 < 0.65 (等级: BUY); 融合得分 32.0 < 40 (等级: BUY)
2026-05-27,US,ADBE.US,HOLD,-5.8,0.38,0.2,-0.18,N/A,True,False,False,False,True,中性,
2026-05-27,US,AMD.US,BUY,30.5,0.53,0.55,0.02,N/A,False,False,False,False,True,中性,置信度 0.55 < 0.65 (等级: BUY); 融合得分 30.5 < 40 (等级: BUY)
2026-05-27,US,AMZN.US,REDUCED,21.5,0.492,0.25,-0.242,N/A,False,False,False,False,True,中性,置信度 0.25 < 0.60 (等级: REDUCED); 融合得分 21.5 < 30 (等级: REDUCED)
2026-05-27,US,AVGO.US,REDUCED,21.5,0.492,0.25,-0.242,N/A,False,False,False,False,True,中性,置信度 0.25 < 0.60 (等级: REDUCED); 融合得分 21.5 < 30 (等级: REDUCED)
2026-05-27,US,CRM.US,HOLD,-3.5,0.38,0.25,-0.13,N/A,True,False,False,False,True,中性,
2026-05-27,US,GOOGL.US,REDUCED,21.5,0.485,0.25,-0.235,N/A,False,False,False,False,True,中性,置信度 0.25 < 0.60 (等级: REDUCED); 融合得分 21.5 < 30 (等级: REDUCED)
2026-05-27,US,INTC.US,REDUCED,23.0,0.485,0.35,-0.135,N/A,False,False,False,False,True,中性,置信度 0.35 < 0.60 (等级: REDUCED); 融合得分 23.0 < 30 (等级: REDUCED)
2026-05-27,US,META.US,HOLD,2.5,0.38,0.55,0.17,N/A,True,False,False,False,True,中性,
2026-05-27,US,MSFT.US,HOLD,6.5,0.342,0.25,-0.092,N/A,True,False,False,False,True,中性,
2026-05-27,US,NFLX.US,HOLD,-3.5,0.32,0.25,-0.07,N/A,True,False,False,False,True,中性,
2026-05-27,US,NVDA.US,REDUCED,19.2,0.485,0.2,-0.285,N/A,False,False,False,False,True,中性,置信度 0.20 < 0.60 (等级: REDUCED); 融合得分 19.2 < 30 (等级: REDUCED)
2026-05-27,US,ORCL.US,REDUCED,24.5,0.53,0.45,-0.08,N/A,False,False,False,False,True,中性,置信度 0.45 < 0.60 (等级: REDUCED); 融合得分 24.5 < 30 (等级: REDUCED)
2026-05-27,US,QCOM.US,BUY,30.5,0.492,0.55,0.058,N/A,False,False,False,False,True,中性,置信度 0.55 < 0.65 (等级: BUY); 融合得分 30.5 < 40 (等级: BUY)
2026-05-27,US,TSLA.US,HOLD,-3.5,0.342,0.25,-0.092,N/A,True,False,False,False,True,中性,
